County,Parent Agency ID,Partner Agency Program No.,Partner Agency Name,c_Address,c_City,c_Post_Code,c_Delivery_Info,Partner Agency Type,FoodFinder-Table1.sl_phone
WILSON,R1246,R1246FP1,NC Love In Action (LIA),1004 S Railroad St,Wilson,27893,"2nd & 4th Monday 8:30am-11:30am, Wednesday after the first Tuesday at 7:30pm",FOODPANTRY,252-291-9880
FRANKLIN,R1249,R1249FP,Nelson Chapel Baptist Church,100 Leonard Farm Rd,Louisburg,27549,10 AM – 12 PM  Wed After 2nd & 4th Sunday,FOODPANTRY,919-496-3873
WAKE,R1251,R1251FP,New Bethel Baptist Church,605 E Young St,Rolesville,27571,2nd Tuesday and  3rd Tuesday from 10 to 1 pm. ,FOODPANTRY,919-389-1347
WAKE,R1252,R1252FP,New Bethel Christian Church,4307 Old Poole Rd,Raleigh,27610,2nd & 4th Tuesday 10:30 am - 12:30 pm,FOODPANTRY,202-302-0158
JOHNSTON,R1253,R1253FP,New Birth Holiness Church,409 Dr Donnie Jones Jr Blvd W,Princeton,27569,1st Thursday 11am-12pm,FOODPANTRY,919-502-9651
WAKE,R1258,R1258FP,New Freedom Christian Fellowship,3540 Maitland Dr Ste 102,Raleigh,27610,Fridays 5:30 p.m. - as supplies last,FOODPANTRY,919-601-2352
HARNETT,R1261,R1261FP,New Life Fellowship Church,4714 Olivia Rd,Sanford,27332,2nd Saturday 12pm-3pm (every other month) ,FOODPANTRY,919-499-5316
FRANKLIN,R1262,R1262FP,New Life Outreach Ministry,128 Savage St,Franklinton,27525,1st & 3rd Mondays 9-10am,FOODPANTRY,919-671-3511
WAKE,R1263,R1263FP,New Providence Missionary,4813 Hilltop Needmore Rd,Fuquay-Varina,27526,2nd & 3rd Sat 1:00 pm - 3:00 pm,FOODPANTRY,919-552-3531
SAMPSON,R1265,R1265FP,New Vision Christian Church,2102 Hobbton Hwy,Clinton,28329,3rd Saturday 11am-2pm and by emergency,FOODPANTRY,919-735-1256
WAYNE,R1266,R1266FP,North Carolina Poverty,106 S Goldsboro St,Fremont,27830,Tuesdays 10:15 am- 12pm,FOODPANTRY,919-617-1444
WAKE,R1267,R1267FP,North Haven Ministries Inc,6620 Six Forks Rd,Raleigh,27615,3rd Sat 10 am - 11:00 am,FOODPANTRY,919-847-4291
FRANKLIN,R1270,R1270FP,Oak Level Christian Church,2279 Cedar Creek Rd,Youngsville,27596,1st & 3rd Wednesday's 9-10a:30am and 6-6:30pm,FOODPANTRY,919-818-4468
WAKE,R1277,R1277FP,Open Door Baptist Church,9801 Durant Rd,Raleigh,27614,Saturday 11:00 am - 12:00 pm,FOODPANTRY,919.847.6969
NASH,R1281,R1281FP,Our Lady of Perpetual Church,328 Hammond St,Rocky Mount,27804,2nd and 4th Friday 9:30am-11am,FOODPANTRY,252-972-0542 Ext 206
WAYNE,R1287,R1287FP,Pete Norris Ministries Inc,126 W Walnut St,Goldsboro,27533,M-W 8:30a-10:00a,FOODPANTRY,919-736-2909
WAKE,R1288,R1288FP,Pleasant Grove Missionary,952 Morphus Bridge Rd,Wendell,27591,"1st & 3rd Tuesday 10 a.m. - 11a.m., 1st & 3rd Wednesday 5 p.m. - 6 p.m., 5th Tues 10am-11am",FOODPANTRY,919-365-7292
HARNETT,R1289,R1289FP1,Pleasant Union Christian,2164 Neills Creek Rd,Lillington,27546,3rd Thursday 5-6pm call 910-893-4490 to sign-up ,FOODPANTRY,910-893-4490
WAKE,R1290,R1290FP,Poplar Springs Christian,6115 Old Stage Rd,Raleigh,27603,1st & 4th Monday 7:00 am -10:00 am,FOODPANTRY,919-772-5151
WAKE,R1294,R1294FP,Progressive Teamwork Outreach,1300 Mack Todd Rd,Zebulon,27597,"3rd Tues 4pm-6pm, Thursdays 4p-6p, Sa- by appointment only",FOODPANTRY,919-395-8253
WAKE,R1298,R1298FP,Raleigh Church of Christ,911 Barringer Dr,Raleigh,27606,4th Saturday 9:30 am -11:30 am,FOODPANTRY,919-852-5683
WAKE,R1303,R1303SH,Raleigh Rescue Mission,314 E Hargett St,Raleigh,27601,24/7,SHELTER,919-828-9014 Ext 131
WAKE,R1303,R1303SK,Raleigh Rescue Mission,314 E Hargett St,Raleigh,27601,Daily-Breakfast for men 7am; Breakfast for women 7:45am; Lunch for men 12:30pm; Lunch for women at 11:45am; Dinner for men 5pm; Dinner for women 4pm,SOUP KITCH,919-828-9014 Ext 131
HARNETT,R1308,R1308FP,Recruiters for Christ Church,931 Red Hill Church Rd,Dunn,28334,Wed 2pm-5pm,FOODPANTRY,910-890-2137
WAYNE,R1311,R1311FP,Renewal Place,106 Norwayne Alumni Way,Fremont,27830,3rd Tuesday 10am-12pm,FOODPANTRY,919-607-5873
WAKE,R1315,R1315FP,Revelation Missionary,805 E Davie St,Raleigh,27601,3rd Saturday 10:30 am -12:30 pm,FOODPANTRY,919-828-9292
SAMPSON,R1316,R1316FP,Revival Deliverance Ctr Inc,101 E Pinewood St,Roseboro,28382,2nd and 4th Saturday 10-12:30pm,FOODPANTRY,910-990-0967
WAKE,R1318,R1318FP,Richland Creek Community,3229 Burlington Mills Rd,Wake Forest,27587,2nd and 4th Saturday.  9- 11 am,FOODPANTRY,919-556-9292
SAMPSON,R1323,R1323FP,Rock Ministry Inc,350 W 2nd St,Garland,28441,1st Wednesday and 2nd and 4th Thursday of the month 1-4pm,FOODPANTRY,910-529-7625
WAKE,R1331,R1331FP,Salvation Army-Raleigh,1863 Capital Blvd,Raleigh,27601,Tuesday & Thursday 1pm - 2pm (No Holiday Services),FOODPANTRY,919-834-6733
WAKE,R1331,R1331SH,Salvation Army-Raleigh,1863 Capital Blvd,Raleigh,27601,Family Drop In shelter : 5pm (First come first served),SHELTER,919-834-6733
WAKE,R1331,R1331SK,Salvation Army-Raleigh,1863 Capital Blvd,Raleigh,27601,Monday -Friday 4:30pm - 5:30pm ( No Holiday Services),SOUP KITCH,919-834-6733
NASH,R1332,R1332FP,Salvation Army-Rocky Mount,1000 Hunter Hill Rd,Rocky Mount,27804,Monday-Thursday 9am-4pm by appointment only,FOODPANTRY,252-446-4496 ext 5
JOHNSTON,R1333,R1333FP,Salvation Army-Smithfield,306 N Brightleaf Blvd,Smithfield,27577,Fridays 9-11am ,FOODPANTRY,919-934-9102
JOHNSTON,R1334,R1334FP,Samaritan's Shelf,143 Short Johnson Rd,Clayton,27520,3rd Saturday 9:30am-11:30am and by emergency,FOODPANTRY,919-631-8290
LENOIR,R1338,R1338FP1,Save the Family Church,5740 Aldridge Store Rd,LaGrange,27534,Fridays at 2:00pm-3:00pm,FOODPANTRY,919-583-8932
JOHNSTON,R1348,R1348FP,Shiloh Christian Food Pantry,211 Durham St,Smithfield,27577-1766,Wed 9am-2pm,FOODPANTRY,919-934-0278
JOHNSTON,R1349,R1349FP,Showers of Blessing Community,9759-B Cleveland Rd,Clayton,27520,3rd Thursdays 6:30-8:30pm ,FOODPANTRY,919-673-4405 
JOHNSTON,R1355,R1355FP,Saint Ann Catholic Church,4057 US 70 BUS,Clayton,27520,Fridays 9-10:30am (closed on Good Friday The Friday after Thanksgiving The Friday between Christmas and New Year’s Day),FOODPANTRY,919-934-2084
WAKE,R1356,R1356FP,Saint Anna Freewill Baptist,11705 Old Stage Rd,Willow Springs,27592,"Friday after the 3rd Sunday, 12-2pm",FOODPANTRY,919-552-1107
EDGECOMBE,R1359,R1359FP,Saint James Missionary Baptist Church,527 E Thomas St,Rocky Mount,27801,1st & 3rd Wed 8:30AM-9:30AM,FOODPANTRY,252-442-2318
WAYNE,R1360,R1360FP1,Saint Mark Church of Christ,700 W Ash St,Goldsboro,27530,2 Fridays per month 10:00am-1:00pm,FOODPANTRY,919-738-8215
NASH,R1362,R1362FP,Saint Paul Missionary Baptist Church,1151 Winstead Ave,Rocky Mount,27804,4th Saturday from 8:30-11am,FOODPANTRY,252-904-0513
WAKE,R1364,R1364FP,State Street Community Church,1200 S State St,Raleigh,27610,3rd Sat 11:00 am - 12:30pm & as needed,FOODPANTRY,919-828-3746
WAKE,R1365,R1365FP,The Stone Chapel,701 S Main St,Wake Forest,27587,Sundays 9 am - 1 pm,FOODPANTRY,919-880-7817
WAKE,R1367,R1367FP,Sure Promise Christian Church,4301 Pearl Rd,Raleigh,27610,"Every other Saturday, 11:00 am to 1:00 pm",FOODPANTRY,919-758-0843
HALIFAX,R1370,R1370FP,Temple Emmanuel Gospel Truth,9 E 8th St,Weldon,27890,1st Friday 2pm-4pm and by Emergency,FOODPANTRY,252-308-2277
HALIFAX,R1370,R1370SK,Temple Emmanuel Gospel Truth,9 E 8th St,Weldon,27890,Every Sunday 11am-12pm,SOUP KITCH,252-308-2277
WAYNE,R1378,R1378FP,The Original Tabernacle of Prayer,1005 S John St,Goldsboro,27530,Tuesday 9-9:30,FOODPANTRY,919-734-7128
WAKE,R1379,R1379FP1,The Point Care Center,1503 Walnut St,Cary,27511,Saturday 11:00 am - 12:00 pm,FOODPANTRY,252-382-9332
WAKE,R1381,R1381FP,The Ship Outreach & Comm Cntr,2635 S Saunders St,Raleigh,27603,2nd Saturday 10:00 am - 11:30 am,FOODPANTRY,919-926-7896
WAKE,R1381,R1381FP1,The Ship Outreach @ Raleigh International Church,"4020 Capital Blv, Suite 152",Raleigh,27604,Fourth Saturday of each month. 10-11:30 am,FOODPANTRY,
WAKE,R1381,R1381FP2,The Ship Outreach @ Storehouse Ministry,2421 Lake Wheeler Rd,Raleigh,27603,Third Saturday of each month. 11 am- 12:30 pm,FOODPANTRY,
WAKE,R1381,R1381FP3,The Ship Outreach @ Cavalry Faith Center,4825 Rolesville Rd,Wendell,27591,Third Saturday of each month. 9:30- 11 am,FOODPANTRY,
WAKE,R1381,R1381FP4,The Ship Outreach @ Bethany Community Church,1225 South Main St,Wake Forest,27587,First Saturday of each month. 2- 3:30 pm,FOODPANTRY,
WAKE,R1384,R1384FP,Tri-Area Ministry,149 East Holding Ave,Wake Forest,27587,Mon & Wed 2nd & 3rd Sat 10am-1pm,FOODPANTRY,919-556-7144
EDGECOMBE,R1386,R1386FP,Truth Foundational Ministries,312 N Second St,Pinetops,27864,1st and 3rd Thursday from 9a-12p,FOODPANTRY,252-827-2312
WAYNE,R1389,R1389FP,TWFC Food-4-Life,296 Buck Swap Rd,Goldsboro,27530,2nd and 4th Tuesday 10am-2pm,FOODPANTRY,919-288-9550
WAKE,R1390,R1390FP,UMOJA Central SDA Church,314 Bashford Rd,Raleigh,27606, Fridays 10:00 am - 12:00 pm,FOODPANTRY,919-931-7877
NASH,R1391,R1391FP,United Community Ministries,341 McDonald St,Rocky Mount,27802,"Monday, Wednesday, Friday 12:30pm-1:30pm",FOODPANTRY,252-985-1650
NASH,R1391,R1391SH,United Community Ministries,341 McDonald St,Rocky Mount,27802,Mon-Fri 8a.m.-10p.m.,SHELTER,
NASH,R1391,R1391SK,United Community Ministries,341 McDonald St,Rocky Mount,27802,Daily 11am-11:30am,SOUP KITCH,
WARREN,R1393,R1393FP,United Solid Rock Faith Ministries,1020 US Hwy 158 W Business,Norlina,27563,2nd Tuesday 1pm until food runs out and by emergency,FOODPANTRY,252-204-9352
WAKE,R1395,R1395FP,Upper Room Church of God,3300 Idlewood Village Dr,Raleigh,27610,"2nd Saturday 9 am- 12 pm, 4th Thursday 6- 9:30 pm",FOODPANTRY,919-829-6160
WAKE,R1396,R1396FP,Urban Ministries of Wake County,1390 Capital Blvd,Raleigh,27603,M-F/9a-1p,FOODPANTRY,919-256-2170
WILSON,R1397,R1397FP,Vaughn's Chapel MB Church,4966 S Elm City Rd,Elm City,27822,"2nd and 4th Tuesday 10""30am-11:30am",FOODPANTRY,252-236-4427
WAKE,R1402,R1402FP,Wake Chapel Church,3805 Tarheel Club Rd,Raleigh,27604,2nd Sat at 9:00 and By appointment during office hours,FOODPANTRY,919-872-7776
DUPLIN,R1410,R1410FP,Warsaw Baptist Church,209 E College St,Warsaw,28398,Monday-Friday 9am-4pm and 1st Tues @11am for Large distribution,FOODPANTRY,910-293-4236
WAKE,R1416,R1416FP,Wendell United Methodist,129 N Main St,Wendell,27591,"Tuesdays 5pm -7pm, Thursday 9am - 10:30 am, last Sat 10am - 12 noon",FOODPANTRY,919-365-8040
WAKE,R1418,R1418FP,Western Wake Crisis Ministry,1600 Olive Chapel Rd Ste 408,Apex,27502,"Monday to Thursday: 12:30 PM – 3:30 PM. Thursday Evening: 5:00 PM – 6:45 PM. Last Saturday of each month, when we’re open from 9:00 AM to 12:00 PM",FOODPANTRY,919-362-0657
WAKE,R1419,R1419FP,White Oak Foundation,1621 White Oak Church Rd,Apex,27523, Wednesdays and Fridays 11:00am-2:00pm(No Friday before a Saturday Distribution)2nd Saturday 11:00am- 1:00PM,FOODPANTRY,919-362-6768
WAKE,R1420,R1420FP,Williams Grove Baptist Church,735 Rock Quarry Rd,Raleigh,27610,1st & 4th Sat 10:30 am - 12:30 pm,FOODPANTRY,919-829-1282
WAKE,R1422,R1422FP,With Love From Jesus Ministry,421 Chapanoke Rd,Raleigh,27603, Tues/Wed/Fri/Sat -- 9:30 am- 12 pm.,FOODPANTRY,919-233-8010
WAYNE,R1423,R1423FP,Woods Chapel UAFWB Church,928 E New Hope Rd,Goldsboro,27534,4th Thursday 9am-12pm and as needed ,FOODPANTRY,919-778-2379
DUPLIN,R1424,R1424FP,Word of Faith Ministries Food,1288 NC Hwy 11 903 N,Kenansville,28349,Wed 9a.m.- 11:45p.m.,FOODPANTRY,910-296-1728
DUPLIN,R1424,R1424MFP,Word of Faith Ministries Food,1288 NC Hwy 11 903 N,Kenansville,28349,Mon and  Wed. 9am-12noon and emergencies,DIRECT DST,910-296-1728
WAKE,R1425,R1425FP,Word of God Fellowship,3000 Rock Quarry Rd,Raleigh,27610,Thurs 1pm - 2pm and as needed,FOODPANTRY,919-834-1141
WAKE,R1427,R1427FP,Zebulon United Methodist,114 W Sycamore St,Zebulon,27597,Tuesday & Thursday 9am to10:30 am,FOODPANTRY,772-360-8739
HALIFAX,R1467,R1467FP,Building Bridges Without Limits,577 E Franklin St,Enfield,27823,3rd Sat 2pm-6pm but during winter it's 2-5pm; every Saturday or Sunday as food is available at 11am (call ahead to confirm for Saturday/Sunday distributions),FOODPANTRY,252-445-2272
JOHNSTON,R1475,R1475FP,Smithfield Area Ministries Food Closet,140 E Market St,Smithfield,27577,Thursday 9:30am-12pm & 2-4pm ,FOODPANTRY,919-934-2218
FRANKLIN,R1493,R1493FP,Our Lady of the Rosary Food Pantry,937 N Main St,Louisburg,27549,Tuesdays 8:30am-10:30am,FOODPANTRY,919-740-1594
WAKE,R1503,R1503FP,Solid Rock Ministry International Inc.,502 Creech Rd,Garner,27529,"1st & 3rd Wednesday, 4th Saturday 9am -11am",FOODPANTRY,919-772-5681
JOHNSTON,R1507,R1507FP,Movimiento Pentecostal y Misionero Perlas,407 E Church St,Benson,27506,Thursday 7pm ,FOODPANTRY,252-294-7001
WAKE,R1510,R1510FP,North Raleigh Ministries,2809 E Millbrook Rd,Raleigh,27609,"MTTH10:30 am - 2:00pm, W 3:30pm - 7:00 pm",FOODPANTRY,919-844-6676 x1 
JOHNSTON,R1511,R1511FP,Princeton United Methodist Food Pantry,101 E 1st St,Princeton,27569,1st and 3rd Wednesday 3-4pm,FOODPANTRY,226-250-8417
SAMPSON,R1512,R1512FP2,Three In One Family Center,607 NC-24,Roseboro,28382,3rd Thursday 11am ,FOODPANTRY,252-266-6655
DUPLIN,R1512,R1512FP3,Three In One Family Center,5110 Hwy 117 S,Wallace,28365,Thursday 8am - 12pm,FOODPANTRY,252-266-6655
LENOIR,R1512,R1512FP4,Three In One Family Center,400 Grainger Ave,Kinston,28501,"8:30 AM 1st, 3rd, and 4th Wednesday, monthly",FOODPANTRY,
WAKE,R1513,R1513SPC,Feed the Pack,2200 Hillsborough St,Raleigh,27607,"*Open to NCSU students, staff, and faculty* Tue 12- 6 pm, Wed 2- 8 pm, Fri 12- 6 pm, Sat 12- 4 pm",SPC,Feed the Pack Food Pantry | Pack Essentials
NASH,R1514,R1514FP,REACH Our Communities-Cathedral of Love Ministries,12564 W Hanes Ave,Middlesex,27577,2nd and 4th Saturdays 10am-12pm,FOODPANTRY,919-810-4471
WAKE,R1518,R1518FP,Kirk of Kildaire Presbyterian Church,200 High Meadow Dr,Cary,27511,"Monday, Tuesday, Thursday, Friday: 9am-Noon",FOODPANTRY,919-687-0245
NASH,R1531,R1531DR,Castalia Community Food Giveaway,10404 Lancaster Store Rd,Castalia,27816,2nd Thursday and 4th Friday at 9am,DR AG FP,252-459-2040
JOHNSTON,R1534,R1534FP,Ties for Guys Men’s Ministry,405 W Whitaker St,Clayton,27527,every other Saturday 10-11am  ,FOODPANTRY,919-741-1598
JOHNSTON,R1537,R1537FP,S & C Food Pantry,1110 Massey St,Smithfield,27577,1st & 3rd Saturday from 9a-12p,FOODPANTRY,
WAKE,R1538,R1538FP,Grace Christian Church,7715 Louisburg Rd,Raleigh,27616,"4th Sat  9am-12pm quarterly ( Jan, April, July & Oct)",FOODPANTRY,
WILSON,R1543,R1543FP,Vision Church - MP,7369 US Hwy 301,Wilson,27851,Fri 10:30 am to 12:30 pm,OTHER FP,919-588-0692
FRANKLIN,R1545,R1545FP,Blessings Inc/Saint Paul Presbyterian Church,928 S Main St,Louisburg,27549,every Friday 11am- run out; 1st 2nd & 4th Tuesday 11- run out; 24/7 outdoor pavilion,FOODPANTRY,919-495-7090
HARNETT,R1549,R1549FP,Hand-ee,12254 NC 210 S,Spring Lake,28390,Thursday and Friday 11am-2pm ,FOODPANTRY,910-497-7100
WAYNE,R1554,R1554FP,Goldsboro Family YMCA,1105 Parkway Dr,Goldsboro,27534,Tuesday 10-11am ,FOODPANTRY,919-778-8557 ext 203
HALIFAX,R1555,R1555FP,Community of Hope Center,201 Batchelor Ave,Enfield,27823,June-Sept: 11am-1pm every third Thursday; October-May 1pm-3pm every third Thursday; also available on call for emergency food,FOODPANTRY,252-592-6070
JOHNSTON,R1560,R1560FP,Restoration Church and Outreach Ministries,901 Old Fairground Rd,Willow Spring,27592,Every Tuesday (11am-2pm) and every Saturday (9am-12pm),FOODPANTRY,919-902-1013
WAKE,R1563,R1563FP,Iglesia Tabernaculo De Restauracion,7604 Rock Quarry Rd,Raleigh,27610,"3rd Friday 12:00 pm - 3:00 pm, & as needed",FOODPANTRY,
FRANKLIN,R1571,R1571FP,The Journey Ministry,426 S Cross St,Youngsville,27596,"Tuesday's 12:30pm-2:30pm and 1st Saturday of September, December, March, and June 8-10:30am",FOODPANTRY,919-414-2091
FRANKLIN,R1581,R1581FP,Pine Ridge Baptist Church,874 Pine Ridge Rd,Zebulon,27597,"every Wednesday 1-2pm/1st, 4th, and 5th Sunday's 2-3pm",FOODPANTRY,919-880-5708
WAKE,R1585,R1585FP,Springfield Baptist Church,4309 Auburn Knightdale Rd,Raleigh,27610,1st & 3rd Saturday 9am - 1pm,FOODPANTRY,919-772-8078
WAKE,R1586,R1586FP,Open Table,824 N Bloodworth St,Raleigh,27604,"Wednesdays, 12pm - 1pm",FOODPANTRY,919-832-1390
WAKE,R1587,R1587FP,Celebration Church,8700 Capital Blvd,Raleigh,27616,"1st, 3rd & 5th Sat 11:00 am-12:30 pm",FOODPANTRY,919-954-8800
WAYNE,R1591,R1591FP,Nothing But the Truth Ministry,1009 Berkeley Blvd,Goldsboro,27534,1st & 3rd Saturday 10:30am-12pm,FOODPANTRY,910-214-1614
WAKE,R1593,R1593FP,Lincoln Park Holiness Church,1504 New Bern Ave,Raleigh,27610,"Tues & Thurs 2pm-4pm, Sat 2pm-3pm",FOODPANTRY,919-880-5065
FRANKLIN,R1595,R1595FP,Concord Baptist Church,810 Walter Grissom Rd,Kittrell,27544,"3rd Saturday 10am-12pm, every Sunday 1pm-2pm",FOODPANTRY,919-452-5386
WAKE,R1605,R1605FP,The Way Church,3704 Benson Rd,Garner,27529,"Every other Mon 8am-12pm, 3rd Tue 12pm-2pm",FOODPANTRY,984-365-6222
WAKE,R1606,R1606FP,Compass Christian Church,5309 Umstead Rd,Fuquay-Varina,27526,1st and 3rd Sat 10 am- 12 pm,FOODPANTRY,919-277-1680
NASH,R1608,R1608FP,Joyful Hope Station,1136 S Church St,Rocky Mount,27803,Every Thursday 2-4pm; Every Saturday 12-2; Every Sunday as needed from 1:30pm-2:30pm,FOODPANTRY,252-904-8562
FRANKLIN,R1609,R1609FP,Franklin County Interfaith Council- Allen Chapel,693 T K Allen Rd,Louisburg,27549,Tuesday after the first and third Sunday from 2-4pm and Sunday’s at 12pm,FOODPANTRY,919-495-4441
FRANKLIN,R1610,R1610FP,Pantry of H.O.P.E.,3331 NC 39,Louisburg,27549,Thursday's 3pm-5pm; Saturday before 4th Sunday 8am-11am,FOODPANTRY,919-671-3010
WAKE,R1612,R1612SK,Grace AME Church,1401 Boyer St,Raleigh,27603,Monday - Wednesday 3:45pm - 4:30pm,SOUP KITCH,919-827-7475
WILSON,R1613,R1613FP,Saint James Christian Church Disciples of Christ,1739 Martin Luther King Jr Pkwy E,Wilson,27893,1st & 3rd Saturday 12pm-2pm,FOODPANTRY,919-451-0424
WARREN,R1614,R1614FP,Olive Grove Missionary Baptist Church,915 Eaton Ferry Rd,Littleton,27850,4th Wednesday 10am and also by emergency,DIRECT DST,252-213-0206
FRANKLIN,R1617,R1617FP,The Help Center NC - Louisburg,110 Industrial Dr,Louisburg,27549,Tuesday and Friday: 9 am to 1 pm & Emergencies 2 pm to 5 pm,FOODPANTRY,919-391-7300
HALIFAX,R1619,R1619FP,"A Better Chance, A Better Community",6878 Old 125 Rd,Scotland Neck,27874,Monday-Friday 10am-2pm and also by appointment,FOODPANTRY,252-673-5080
WAKE,R1620,R1620FP,South Raleigh Inwood Care Pantry,3700 Lake Wheeler Rd,Raleigh,27603,Sat 11am-12pm,FOODPANTRY,
HARNETT,R1622,R1622FP,Kingdom Christ Church,25 Bailey Way Rd,Lillington,27546,Sundays 12:30pm and 3rd Saturday 12pm ,FOODPANTRY,99-520-8424
NASH,R1623,R1623FP,Mission in Action,904 S Alston St,Nashville,27856,"4th Sunday's at 3pm, 3rd Wednesday's at 2pm",FOODPANTRY,252-908-2282
WAKE,R1624,R1624FP,Iglesia Pentecostal Puerta Al Cielo,1411-1 Diggs Dr,Raleigh,27603,Thursdays 4:30- 6:30 pm,FOODPANTRY,
WAKE,R1625,R1625FP,Oak City Baptist Church,726 Method Rd,Raleigh,27607,3rd Saturday 9am-12pm,FOODPANTRY,
FRANKLIN,R1626,R1626FP,Sandy Creek Baptist Church,4160 NC 561 Hwy,Louisburg,27549,2nd & 4th Thursday 9am-12pm,DIRECT DST,919-727-2087
FRANKLIN,R1627,R1627FP,Sowing Seeds NC,200 Ayscue Way,Franklinton,27525,Every Monday and Wednesday 3:30pm-5:30pm,FOODPANTRY,919-398-4695
WARREN,R1638,R1638FP,Warrenton Missionary Baptist Church,114 S Bragg St,Warrenton,27589,1st & 3rd Thursday's 9-10:30am; 1st Saturday 9-10:30am,FOODPANTRY,252-213-4859
WAKE,R1641,R1641FP,Wake Relief,4 N Blount St,Raleigh,27601,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm",FOODPANTRY,207-838-1493
WAYNE,R1643,R1643FP,Kingdom Builders Youth Development Program,600 E Pine St,Goldsboro,27530,Saturdays 10-12,FOODPANTRY,919-288-5655
HARNETT,R1644,R1644FP,The Haven Church,4900 Bunnlevle-Erwin Rd,Erwin,28339,Saturdays 8am-12pm,FOODPANTRY,910-694-6658
FRANKLIN,R1645,R1645FP,Bridges of Hope Outreach Ministry,304 Main St,Franklinton,27525,1st & 3rd Friday 10am-12pm,FOODPANTRY,
WILSON,R1652,R1652FP,Wilson Youth United Inc. dba The SPOT,910 Tarboro St W,Wilson,27893,2nd & 4th Friday's 4-6:30pm,FOODPANTRY,252-991-4018
FRANKLIN,R1665,R1665FP,"Tar River Cowboy Church ""Feed My People""",1308 NC 98 HWY W,Louisburg,27549,Every Friday 5pm-7pm; 2nd & 4th Tuesday's 12pm-2pm delivery to Bunn Manor Apartments,FOODPANTRY,919-945-9636
HOKE,S1005,S1005FP,Avery's Chapel FWB Church,902 Loop Rd,Raeford,28376, Monday 10 AM-12 PM and Friday 10 AM- 12 PM,FOODPANTRY,910-281-5907
MOORE,S1009,S1009FP,Blue Angel Outreach,5 American Legion Ln,Pinehurst,28374,3rd and 4th Friday 9:30am  3rd Wed. TEFAP at 11am,FOODPANTRY,910-783-7616
MOORE,S1014,S1014FP,Carthage United Methodist,108 Bruce St,Carthage,28327,1st and 3rd  Saturdays 8:00-9:30am,FOODPANTRY,910-603-0413
RICHMOND,S1015,S1015FP,Christ Memorial Church,1110 E Washington St,Rockingham,28379,Saturdays 8:00-10:00am,FOODPANTRY,910-215-3685
MOORE,S1016,S1016FP,Christian Mission Center,703 Monroe St,Carthage,28327,Wednesdays 9:30am-12:30pm,FOODPANTRY,910-947-3020
SCOTLAND,S1017,S1017FP,Church Community Services,108 Gill St,Laurinburg,28352,"Mon., Wed., and Fri., 8:30am-12:00pm",FOODPANTRY,910-276-8330
MOORE,S1031,S1031FP,Eagle Springs Baptist Church,460 Eagle Springs Rd,Eagle Springs,27242,2nd and 4th Sat. 10 AM-11 AM,FOODPANTRY,910-673-2839
RICHMOND,S1032,S1032FP,Faith Assembly Church,148 Daniels St,Hamlet,28345,Fridays at 1pm (direct distribution) & Saturdays at 10:30am-1:30 PM,FOODPANTRY,910-997-4391
RICHMOND,S1032,S1032SK,Faith Assembly Church,148 Daniels St,Hamlet,28345,"Tues 5:45PM- 7PM dinner; 1st, 2nd, 3rd Sundays 9 AM breakfast delivery to seniors only and breakfast available to the community at the church",SOUP KITCH,910-997-4391
RICHMOND,S1044,S1044FP,Helping Hands of Hamlet,609 Cheraw Rd,Hamlet,28345,Every Thursday 12-3pm,FOODPANTRY,910-334-1009
MOORE,S1045,S1045FP,High Falls United Methodist,324 Frieson Rd,Highfalls,27259,Second & Fourth Saturday of each month; 7:00 a.m. - 8:30 a.m.,FOODPANTRY,910-464-2669
RICHMOND,S1049,S1049FP,Jesus Is Justice Mission Inc,469 Mills Rd,East Rockingham,28379,Thursday 11-2pm Tuesday (for unhoused only) and Sunday at 3 PM (for unhoused only),FOODPANTRY,917-566-1961
RICHMOND,S1050,S1050SK,King's Gate Church,161 Sierra Ave,Hamlet,28345,Tuesdays 12pm,SOUP KITCH,910-995-2943
RICHMOND,S1055,S1055FP,Mineral Springs Improvement,122 Railroad St,Ellerbe,28388,Tuesdays 2-3pm,FOODPANTRY,910-434-3160
MONTGOMERY,S1058,S1058FP,Montgomery Churches in Action,203 Church St,Biscoe,27209,every Saturday 7:30a-9:30a,FOODPANTRY,910-220-1283
RICHMOND,S1059,S1059FP,Mt Zion UCC/Rockingham,986 Ledbetter Rd,Rockingham,28379,2nd and 4th Saturday 11am-12pm,FOODPANTRY,910-895-5792
MOORE,S1063,S1063FP,New Zion Ame Zion Church,4967 Hwy 705,Robbins,27325,1st Wednesday of the mon. 3pm-until  Every Mon-Thurs. 10am-11:30am fresh produce distribution,FOODPANTRY,910-639-7382
RICHMOND,S1065,S1065FP1,Our Daily Bread Christian Food,108 S Randolph St,Rockingham,28379,Tuesday/Wednesday/Thursday-9:30am-12:30pm,FOODPANTRY,910-895-3536
RICHMOND,S1066,S1066FP,Outreach for Jesus,440 Battley Dairy Rd,Hamlet,28345,bi-weekly Thurs 3-4pm,FOODPANTRY,910-206-2959
MOORE,S1068,S1068FP,Pinebluff United Methodist Church,165 W Philadephia Ave,Pinebluff,28373,Third Saturday of each month 8:00-9:30a.m. M-F Emergency Asst. by appointment,FOODPANTRY,910-986-3549
